Prowess company name,Short name,NIC code,Incorporation year,NSE symbol
C N I RESEARCH LTD.,C N I RESEARCH,64300,1982,NA
AXEL POLYMERS LTD.,NA,20131,1992,NA
ELIXIR CAPITAL LTD.,NA,64300,1994,NA
AXTEL INDUSTRIES LTD.,NA,28251,1991,NA
WARDWIZARD HEALTHCARE LTD.,AYOKI MERCHANTILE,66190,1985,NA
GLOBAL VECTRA HELICORP LTD.,NA,51101,1998,GLOBALVECT
B & A LTD.,B & A,10791,1915,NA
B & A PACKAGING INDIA LTD.,NA,17024,1986,NA
B 2 B SOFTWARE TECHNOLOGIES LTD.,NA,70200,1994,NA
B A G FILMS & MEDIA LTD.,B A G FILMS & MEDIA,59113,1993,BAGFILMS
B A S F INDIA LTD.,NA,34,1943,BASF
HEMANG RESOURCES LTD.,BCC FINANCE,46610,1993,NA
B C C FUBA INDIA LTD.,B C C FUBA INDIA,26104,1985,NA
B D H INDUSTRIES LTD.,NA,21002,1990,NA
B F L ASSET FINVEST LTD.,B F L DEVELOPERS,64300,1995,NA
B F UTILITIES LTD.,NA,35106,2000,BFUTILITIE
BILCARE LTD.,BILCARE,46909,1987,NA
B I T S LTD.,NA,77,1992,NA
B J DUPLEX BOARDS LTD.,B J DUPLEX BOARDS,46103,1995,NA
B L B LTD.,BLB,64300,1981,BLBLIMITED
B L KASHYAP & SONS LTD.,B L KASHYAP & SONS,42209,1989,BLKASHYAP
B L S INFOTECH LTD.,B L S INFOTECH,64191,1985,NA
B M B MUSIC & MAGNETICS LTD.,NA,59111,1991,NA
B M W INDUSTRIES LTD.,B M W INDS.,2410,1981,NA
QUEST CAPITAL MARKETS LTD.,NA,64300,1986,NA
B N R UDYOG LTD.,NA,41001,1994,NA
B N RATHI SECURITIES LTD.,NA,66120,1985,NA
LINDE INDIA LTD.,NA,20116,1935,LINDEINDIA
B P CAPITAL LTD.,NA,46909,1994,NA
B P L LTD.,NA,26104,1963,BPL
B S E L ALGO LTD.,NA,64300,1995,BSELINFRA
RELIANCE INFRASTRUCTURE LTD.,NA,42209,1929,RELINFRA
ALLIANCE INTEGRATED METALIKS LTD.,NA,25999,1989,NA
B S L LTD.,NA,13124,1970,BSL
NIVAKA FASHIONS LTD.,B T SYNDICATE,47714,1983,NA
B W L LTD.,E,64191,1971,NA
BACIL PHARMA LTD.,NA,64300,1987,NA
BAFFIN ENGINEERING PROJECTS LTD.,NA,41001,1995,NA
BAFNA PHARMACEUTICALS LTD.,NA,21002,1995,BAFNAPH
FUNDVISER CAPITAL (INDIA) LTD.,BAGADIA COLOURCHEM,64300,1985,NA
BAHETI RECYCLING INDS. LTD.,NA,24202,1994,BAHETI
BAID FINSERV LTD.,NA,64920,1991,BAIDFIN
BAJAJ FINANCE LTD.,BAJAJ AUTO FINANCE,64920,1987,BAJFINANCE
BAJAJ HOLDINGS & INVST. LTD.,BAJAJ AUTO,64300,1945,BAJAJHLDNG
BAJAJ ELECTRICALS LTD.,NA,46593,1938,BAJAJELEC
BAJAJ GLOBAL LTD.,BAJAJ GLOBAL,64300,1985,NA
BAJAJ HEALTHCARE LTD.,BAJAJ HEALTHCARE,2100,1993,BAJAJHCARE
BAJAJ HINDUSTHAN SUGAR LTD.,BAJAJ HINDUSTHAN,10721,1931,BAJAJHIND
BAJAJ STEEL INDS. LTD.,BAJAJ STEEL INDS.,28261,1961,NA
FORCE MOTORS LTD.,2898,29102,1958,FORCEMOT
